"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"244",30,"Anwar","El Ghazi","MID","Aston Villa",5500000,10,"3.3","a",23,"38.8","16.9","125.0","18.2","","2019-08-04T16:30:15.264156Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/193488.jpg",0,"0.5","1.8",1,0,0,0,0,0,0,0,0,0,3,2
"332",31,"John","McGinn","MID","Aston Villa",5600000,17,"4.2","a",58,"94.8","60.6","71.0","22.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/122806.jpg",0,"0.8","3.0",1,1,1,0,0,0,0,0,0,0,3,2
"256",32,"Andre","Green","MID","Aston Villa",4900000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul","2019-08-04T16:30:15.274646Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/174597.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,2
"334",33,"Birkir","Bjarnason","MID","Aston Villa",4500000,0,"0.0","u",0,"0.0","0.0","0.0","0.0","Left Aston Villa by mutual consent on 8/8.","2019-08-08T15:30:15.672945Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/27770.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,2
"375",34,"Keinan","Davis","MID","Aston Villa",4500000,2,"1.0","a",9,"0.0","0.3","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/221239.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,3,2
"457",35,"Henri","Lansbury","MID","Aston Villa",4400000,1,"1.0","a",2,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40564.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,3,2
"458",36,"José Ignacio","Peleteiro Romallo","MID","Aston Villa",5900000,9,"2.2","a",29,"35.0","40.9","9.0","8.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/89274.jpg",0,"0.4","1.5",0,1,1,0,0,0,0,0,0,0,3,2
"144",37,"Shane","Duffy","DEF","Brighton",5e+06,9,"3.0","a",52,"42.8","1.2","11.0","5.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/61933.jpg",0,"0.4","1.8",0,0,1,0,0,0,0,0,0,0,2,4
"145",38,"Martín","Montoya","DEF","Brighton",4500000,8,"2.0","a",52,"40.4","40.4","14.0","9.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/86153.jpg",0,"0.4","1.8",0,0,1,0,0,0,1,0,0,0,2,4
"146",39,"Bernardo","Fernandes da Silva Junior","DEF","Brighton",4500000,2,"1.0","a",14,"0.0","0.4","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/209362.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,2,4
"147",40,"Leon","Balogun","DEF","Brighton",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/52484.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,4
"148",41,"Gaëtan","Bong","DEF","Brighton",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/42748.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,4
"149",42,"Lewis","Dunk","DEF","Brighton",4600000,14,"3.5","a",86,"79.2","14.6","8.0","10.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/83299.jpg",4,"0.8","3.0",0,1,1,0,0,0,2,0,0,4,2,4
"150",43,"Matthew","Clarke","DEF","Brighton",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Derby County on loan until the end of the season on 2/8. - Expected back 01 Jul","2019-08-02T11:00:13.040927Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/178173.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,4
"527",44,"Glenn","Murray","FWD","Brighton",5900000,6,"1.5","a",12,"4.2","26.7","16.0","4.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/20529.jpg",0,"0.3","1.0",0,0,1,0,0,0,0,0,0,0,4,4
"492",45,"Jürgen","Locadia","FWD","Brighton",5400000,3,"1.5","n",5,"3.2","1.3","30.0","3.3","Joined TSG Hoffenheim on loan until the end of the season on 29/8. - Expected back 01 Jul","2019-08-29T13:00:09.129312Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/106757.jpg",0,"0.1","0.6",0,0,1,0,0,0,0,0,0,0,4,4
"464",46,"Florin","Andone","FWD","Brighton",5e+06,5,"1.7","s",20,"45.0","11.3","21.0","7.6","Suspended until 21 Sep","2019-08-24T16:30:09.164349Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/93284.jpg",1,"0.2","1.0",1,0,0,0,0,0,0,1,0,1,4,4
"55",47,"Mathew","Ryan","GKP","Brighton",4600000,12,"3.0","a",73,"59.8","0.0","0.0","5.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/131897.jpg",2,"0.7","2.6",0,0,1,0,0,0,0,0,9,2,1,4
"18",48,"David","Button","GKP","Brighton",4e+06,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/50093.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,4
"283",49,"Pascal","Groß","MID","Brighton",6500000,11,"2.8","a",43,"28.0","98.5","31.0","15.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/60307.jpg",1,"0.4","1.7",0,1,1,0,0,0,0,0,0,1,3,4
"392",50,"Alireza","Jahanbakhsh","MID","Brighton",5900000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/165210.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,4
